t,y1(58),y2(12),y3(80),y4(22),y5(36),y6(70),y7(65),y8(0),y9(75),y10(78),y11(97),y12(60),y13(21),y14(51),y15(68),y16(37),y17(41),y18(35),y19(79),y20(23),y21(94),y22(14),y23(84),y24(87),y25(31),y26(18)
40,-0.17862796660913002,-0.08284091669567796,-0.17861062865015334,-0.14390483924185768,-0.0435844475460032,0.0681845649759875,0.05640169041286048,0.06182604037514295,0.14672015271810873,-0.03886909617529389,-0.060426118774733154,0.01306072761724512,-0.15347855464797455,-0.07844311335509321,-0.041034949092029954,-0.157190029135583,0.17773391219053067,0.062147298263499684,0.07029677164210806,-0.3033552964146266,-0.023777864437350693,-0.024301860053629644,0.062996600177072,0.06455509199327361,0.005373771896547072,-0.05614154858841205
41,0.04122921439385103,-0.2118563884632828,-0.1577626398175172,0.06277043517545655,0.0867289055421692,-0.13158921494166914,-0.16143228955638286,-0.10885145287761075,0.2401230246038545,-0.24631422823491067,-0.18368083010514924,-0.01748091791947301,0.24737886813335397,-0.06475145625127846,-0.020449602097082027,-0.19637712877662972,-0.058947800215592594,-0.14291002440860806,0.04340360877036248,0.08841600478874946,-0.012717653962584827,-0.06895923947556512,-0.03779750990018,-0.04881246401122198,-0.10310521581314246,-0.04886358078981795
42,0.07932958277078972,0.13965730323929829,-0.22383880027499653,0.1368425466132104,-0.22376150622589805,-0.014535027536558852,0.18622176858353584,-0.09708974167850189,-0.20466804028416408,-0.05481723426406358,-0.045215958338507584,0.0884570682932161,0.14153674061904586,0.06416299684126646,-0.0699808732654482,0.023374614143614334,0.13849076163553853,-0.03459530123244406,0.025495689367955612,0.09404256918220719,0.1719065113259947,-0.2428827799476399,0.05612905978753506,-0.014898133933068554,-0.1852691151108919,0.041270891885130334
43,0.1510155161743858,0.14637916791007277,0.05537084293216745,0.05099994464119544,-0.0020596628123219773,0.10346709677132804,0.1329457271984929,-0.025984555022330533,-0.13686165370134284,0.08238388936058907,-0.15342100869165065,0.012877677706124498,-0.1345905251651012,0.17757863657444092,-0.0819728264355418,-0.2388255729209655,0.03974151213711337,0.0678164751947126,0.05688456594687577,0.04839550799042248,-0.07240921116812166,0.018824666886486083,-0.09630546763069892,0.07681100382839157,-0.04086445221071322,0.35036599520164263
44,0.06655602023090051,0.01913079759026387,0.21696281146531873,0.1918861416153536,0.015190425439264327,0.00895443866361019,-0.10862275084807631,0.01247947325907603,-0.09268506503108383,0.11945329038372197,0.049517492125145404,-0.08431590470826104,-0.14225133501558612,-0.2237255565510679,0.052103598415653415,-0.003329839778283057,-0.1490435647112558,0.09050042273565881,0.16109723596833425,0.030004581517931696,0.07995154186253689,-0.13823792847513391,0.20988935488911864,-0.18135731577685804,0.02075701384485062,0.0032031967121944095
45,-0.08853624562040896,0.20581732332766842,0.09653714800299251,0.10356064477162655,-0.003421757356409159,0.04328534635399579,-0.1613004497814367,0.13165396702071203,0.1521487843194592,-0.33156370885012243,-0.02034274105152468,0.0361338942166235,-0.05387474208588672,0.18084193698294443,-0.05354283751328741,-0.07299848274302699,-0.13765902771225325,0.04304144802242976,0.048829858898896926,-0.20822300269846722,-0.09251402240046457,0.14774463098492052,-0.017862282429951533,-0.04661624897462863,0.1612624664159647,-0.06471505401871532
46,-0.14207412533235822,0.09401972982956944,-0.17328385196166937,0.03432992525836858,0.00485332292193541,-0.1607188278918324,0.1905728801479394,-0.13289687335260789,-0.09966103895193734,-0.1267940069117294,-0.012026339338427254,-0.0072277943704885245,-0.01805110546327547,-0.08487231057183389,0.0648390414473375,0.06098771604134432,0.27880964038157735,-0.275209295869857,-0.22074517180869224,-0.059646513461231225,-0.002897604544560081,-0.1414689763458022,-0.049780064925003996,0.053668139139897306,-0.0473607155328287,0.06300779115717015
47,0.19342637455277822,-0.043921695181968846,0.06591325211904032,-0.08375162817988714,-0.08893809708405045,0.12172833300155883,-0.042145078086951226,-0.10336421636417628,0.23774441693288179,-0.038665550439856006,0.05596851058033543,0.013271827000736001,-0.12097624949122959,-0.018297297010828648,0.27475313360492837,0.2220220455758673,-0.04140351761598712,-0.18488747349515056,-0.0948582214092811,-0.10863518510440856,-0.13844491984735147,0.0824519777680626,-0.047744884925080444,0.14457446153732062,-0.2600181024914739,0.09158330313596186
48,0.15027426161337684,-0.18415699181571876,-0.05894793653102261,0.06581530655809627,-0.06451617725521941,0.008825876411999375,-0.0996464588091388,0.0930582468855622,-0.13285307943336877,-0.021685000729821623,0.033538421704737635,0.1150519448408234,0.10899242009212855,-0.025604793373828164,-0.14762773544045604,-0.015913106162690205,-0.0006923596200898025,0.25317901302181667,0.08796866888566084,0.22442400478032665,0.07085703161513913,-0.17994359333451726,-0.04502274877867091,-0.05674166888854625,-0.041038050063039816,-0.12944362534221876
49,0.030401615448781304,0.04480835159497673,0.052454431136576544,0.2002882651068858,-0.1404092291103779,-0.08713704129757033,-0.0967202088292002,-0.117589591568689,-0.07341718125669061,0.03672306351368892,-0.0590041807921593,-0.11412669926535736,-0.15287750996258903,0.1622201284019115,0.01732289393491737,-0.21751660285121688,0.0242813706163399,-0.009262907571463343,0.11733495809207638,-0.264931069370416,0.06630125109969053,-0.24297139883609561,0.18501417286534858,-0.1450662894156776,0.049580378021550235,0.03073806604323137
50,-0.09144734696792325,0.11691242243480986,0.1510439861922991,-0.06364210904443524,0.04855628283871194,-0.10697715725674602,-0.06210304927620678,-0.01571730383770549,0.07474362161721754,0.005875615599020964,-0.05547460684150648,-0.0744436639609222,0.15455778936858364,-0.03781216361696391,0.13071031425194626,0.06674923004763544,-0.04542863658214039,0.1297732717262024,-0.12321663131774091,0.09231967090254162,-0.2921972832825642,0.05987911362391113,0.05455202289249446,0.15267092418696845,-0.005965879168357124,-0.25579292697144895
