i,j,D_l
5,95,0.0008432173797743962
5,96,0.051180981928490764
5,97,0.05568141969202983
5,98,0.050040519458140864
5,99,0.049461459977706346
6,0,0.023080610394395254
6,1,0.015925233874292746
6,2,0.04366369533977548
6,3,0.042655204374450056
6,4,0.039997539406652835
6,5,0.05046416893368143
6,6,0.0
6,7,0.026833456877250236
6,8,0.020428689111288572
6,9,0.014877274151145783
6,10,0.024534201296724033
6,11,0.009551415190415044
6,12,0.01240084722552477
6,13,0.020333959276068497
6,14,0.05719753574890969
6,15,0.0211426669311158
6,16,0.041125985470428825
6,17,0.009176539093620683
6,18,0.05049533111115325
6,19,0.017544909212831507
6,20,0.049340350285546626
6,21,0.007890300327831657
6,22,0.02102602929507558
6,23,0.05089711474902078
6,24,0.0011191698952411294
6,25,0.010594096063822788
6,26,0.03491706545088197
6,27,0.035849150858202505
6,28,0.020093626905191727
6,29,0.015611270699853859
6,30,0.02032719513868547
6,31,0.009322567240221012
6,32,0.03820420898837757
6,33,0.0281515579796131
6,34,0.026485470183017657
6,35,0.02587224868423433
6,36,0.008724026954237732
6,37,0.015831706369467104
6,38,0.01483167119374765
6,39,0.022377465575358645
6,40,0.04911991185250135
6,41,0.033298238197374604
6,42,0.014866649193153642
6,43,0.006568370334429682
6,44,0.017734159709497953
6,45,0.01268520840273718
6,46,0.010548785446916925
6,47,0.0032144753538000817
6,48,0.025910488470759666
6,49,0.040194989105309234
6,50,0.00108133425683564
6,51,0.05287751828345822
6,52,0.038258244568926764
6,53,0.002977165085343953
6,54,0.027641134029812355
6,55,0.03873175275302634
6,56,0.036380872059312765
6,57,0.022563543804320456
6,58,0.017992038074717314
6,59,0.0474117583064428
6,60,0.03852870384089673
6,61,0.055995395918809254
6,62,0.006605522436100197
6,63,0.023537410585801756
6,64,0.048525126501842125
6,65,0.02031862028016176
6,66,0.02375973347330659
6,67,0.0019717683530755194
6,68,0.0190732944460108
6,69,0.0037944097748280623
6,70,0.052997866002647324
6,71,0.02424212091447652
6,72,0.01369997845226828
6,73,0.014444936527072506
6,74,0.038920441857421106
6,75,0.015857453650153307
6,76,0.029673916650229584
6,77,0.004272602994605792
6,78,0.011039295278181007
6,79,0.0018236004383515134
6,80,0.02594978667438616
6,81,0.009570072176867145
6,82,0.032134916791682656
6,83,0.0014819784378882171
6,84,0.0011896514525739693
6,85,0.014229325097384804
6,86,0.008578542715700663
6,87,0.024135364891978015
6,88,0.044128029220381546
6,89,0.026903332761212494
6,90,0.014101375208779564
6,91,0.018748452538627194
6,92,0.03543728271612867
6,93,0.0050397477890828804
6,94,0.011967397408305549
6,95,0.05125106920867937
6,96,0.00081326706145522
6,97,0.0052308154254283
6,98,0.0005691334992105533
6,99,0.001228436274142387
7,0,0.003810282039909012
7,1,0.042742423696265755
7,2,0.016844926256789676
7,3,0.015836053420377954
7,4,0.013172630149839848
7,5,0.023684561598321673
7,6,0.026833456877250236
7,7,0.0
7,8,0.006444626974028712
7,9,0.012010677180566963
7,10,0.0023027295232647335
7,11,0.01729644795670409
7,12,0.039217792180911176
7,13,0.006502641909967693
7,14,0.030391755180861738
7,15,0.005787336452830296
7,16,0.014304310596977045
7,17,0.01769194543559031
7,18,0.02368135022454431
7,19,0.009337026886766788
7,20,0.02253180934592008
7,21,0.0346948876970947
7,22,0.005813105254530913
7,23,0.024101476255596367
7,24,0.025749808408252698
7,25,0.037413832472129795
7,26,0.008142194632315327
7,27,0.009020841024985548
7,28,0.006742069141672971
7,29,0.04242337703425478
7,30,0.0066135261284156355
7,31,0.0361506246258353
7,32,0.011377769870017226
7,33,0.00131888507772925
7,34,0.0005283441397714043
7,35,0.0009616032838430674
7,36,0.035548624072745276
7,37,0.04264930779266019
7,38,0.012036640338876244
7,39,0.004486464368860759
7,40,0.022305191846332003
7,41,0.006468958436542397
7,42,0.011982962200049591
7,43,0.02029975622019146
7,44,0.04454277905211615
7,45,0.01415797836671131
7,46,0.03737380309193864
7,47,0.029965339981428942
7,48,0.0011530048822348754
7,49,0.013371853384732006
7,50,0.02791196942529819
7,51,0.02608093564652346
7,52,0.011441811992105052
7,53,0.02385753104236588
7,54,0.0008728111714531665
7,55,0.011906497027377774
7,56,0.00959670322698875
7,57,0.004295645809356874
7,58,0.008846438276051024
7,59,0.020604078069176936
7,60,0.011720340304663571
7,61,0.029190308971439635
7,62,0.020230830082703377
7,63,0.0033991869690165703
7,64,0.021726470880202377
7,65,0.0065258342095591065
7,66,0.0030778143707170906
7,67,0.02871920256503537
7,68,0.0458825898418122
7,69,0.030619019215349968
7,70,0.026188083142906503
7,71,0.002718589810778144
7,72,0.013138613910299432
7,73,0.012411326506517505
7,74,0.012097549108367937
7,75,0.010999202088270092
7,76,0.0028626740752368905
7,77,0.022564450782850083
7,78,0.0158347881841148
7,79,0.028623168426204316
7,80,0.0009616162509513744
7,81,0.017292426843996754
7,82,0.005329208691898552
7,83,0.028212814963128392
7,84,0.027999609235322742
7,85,0.012625655264186023
7,86,0.018258992860010714
7,87,0.002801488611791071
7,88,0.01730732647749692
7,89,0.0003051116838936176
7,90,0.012739383535012297
7,91,0.008108652291395516
7,92,0.008633510037184761
7,93,0.02187733133201152
7,94,0.03879259833476902
7,95,0.024461227901385548
7,96,0.027564930911827764
7,97,0.032061374150240844
7,98,0.026424270749716625
7,99,0.025860232842916213
8,0,0.002918615404715931
8,1,0.036329277520598134
8,2,0.023276523781637807
8,3,0.022245644621018485
8,4,0.019599511182253327
8,5,0.030054268551399914
8,6,0.020428689111288572
8,7,0.006444626974028712
8,8,0.0
8,9,0.0055708061496539075
8,10,0.004146277975108649
8,11,0.010879448563302759
8,12,0.032802753209603026
8,13,0.0006353814653183435
8,14,0.03680674337367406
8,15,0.000771005206642247
8,16,0.020736420349251813
8,17,0.011333059996369112
8,18,0.030096230036395548
8,19,0.0031930863156389567
8,20,0.02893232863359812
8,21,0.028275699576409456
8,22,0.0007398283917538543
8,23,0.030487489999789372
8,24,0.019337278501729303
8,25,0.030999726871420507
8,26,0.014494508688914285
8,27,0.015448880091547563
8,28,0.0008196024501875396
8,29,0.0360071962030404
8,30,0.0005286760754201943
8,31,0.029744293597756134
8,32,0.017805315441117284
8,33,0.007756594477304535
8,34,0.006145820178085732
8,35,0.0054880096268790516
8,36,0.029136993485610347
8,37,0.03623638907814733
8,38,0.00560349874064377
8,39,0.001958817590163767
8,40,0.02871750581739473
8,41,0.01289318052992768
8,42,0.005654173200020698
8,43,0.013877042360439804
8,44,0.0381259874929892
8,45,0.007745235400991575
