method,group_id,leader,member,distance_to_leader,threshold_eps
groupsm,2,90,99,0.0034142061499877205,0.027639919396638346
groupsm,2,90,20,0.005566195988736656,0.027639919396638346
groupsm,2,90,19,0.008613991799203552,0.027639919396638346
groupsm,2,90,15,0.008498483988882057,0.027639919396638346
groupsm,2,90,17,0.006297849304899426,0.027639919396638346
groupsm,3,16,44,0.009930623152981736,0.026315749374985042
groupsm,3,16,69,0.006850793972536567,0.026315749374985042
groupsm,3,16,91,0.006641820959868739,0.026315749374985042
groupsm,3,16,61,0.006434828293893513,0.026315749374985042
groupsm,3,16,40,0.002041289547469983,0.026315749374985042
groupsm,3,16,48,0.0035675343393423895,0.026315749374985042
groupsm,3,16,98,0.0014515240790642686,0.026315749374985042
groupsm,3,16,1,0.007768845427491664,0.026315749374985042
groupsm,3,16,86,0.0027740314566903567,0.026315749374985042
groupsm,3,16,96,0.006783524613279214,0.026315749374985042
groupsm,3,16,26,0.009724493589427494,0.026315749374985042
groupsm,3,16,16,0.0,0.026315749374985042
groupsm,3,16,13,0.004640568352967812,0.026315749374985042
groupsm,3,16,71,0.0010928569854411208,0.026315749374985042
groupsm,3,16,43,0.0042381899750596,0.026315749374985042
groupsm,3,16,4,0.008803123386053265,0.026315749374985042
groupsm,3,16,30,0.007194035637647417,0.026315749374985042
groupsm,3,16,9,0.011396020658297918,0.026315749374985042
groupsm,4,75,22,0.0049596654134049754,0.02870228433417643
groupsm,4,75,36,0.00853995650249467,0.02870228433417643
groupsm,4,75,41,0.010394672939624976,0.02870228433417643
groupsm,4,75,79,0.008505643565937004,0.02870228433417643
groupsm,4,75,68,0.004649789551601457,0.02870228433417643
groupsm,4,75,84,0.007998337728969658,0.02870228433417643
groupsm,4,75,97,0.002503679272116182,0.02870228433417643
groupsm,4,75,53,0.00669121993345739,0.02870228433417643
groupsm,4,75,0,0.0012960174053468277,0.02870228433417643
groupsm,4,75,28,0.006887184453066504,0.02870228433417643
groupsm,4,75,58,0.005311894356687358,0.02870228433417643
groupsm,4,75,75,0.0,0.02870228433417643
groupsm,4,75,21,0.0030464373273310827,0.02870228433417643
groupsm,4,75,65,0.004226733543742241,0.02870228433417643
