delta_m,delta_M,D_l
0.15200000000000002,0.011,0.003424160181761977
0.15200000000000002,0.012,0.003564371869732574
0.15200000000000002,0.013000000000000001,0.003771893934085855
0.15200000000000002,0.014,0.004031934173447152
0.15200000000000002,0.015,0.004334305305153295
0.15200000000000002,0.016,0.004670703726156209
0.15200000000000002,0.017,0.005034171444755693
0.15200000000000002,0.018000000000000002,0.005419108528606301
0.15200000000000002,0.019000000000000003,0.00582122403592633
0.15200000000000002,0.02,0.006237361152647124
0.15200000000000002,0.020999999999999998,0.006665282259299695
0.15200000000000002,0.022,0.007103434579897676
0.15200000000000002,0.023,0.007550668643817907
0.15200000000000002,0.024,0.00800595951463848
0.15200000000000002,0.025,0.008468272697233444
0.15200000000000002,0.026000000000000002,0.008936600092029132
0.15200000000000002,0.027000000000000003,0.00941003806614978
0.15200000000000002,0.028000000000000004,0.009887821264429992
0.15200000000000002,0.028999999999999998,0.010369316012947312
0.156,0.01,0.00489554460643061
0.156,0.011,0.005121206721275614
0.156,0.012,0.005384517526157672
0.156,0.013000000000000001,0.005679927413368449
0.156,0.014,0.0060026263137811136
0.156,0.015,0.0063483716112306314
0.156,0.016,0.006713487486938366
0.156,0.017,0.007094880799213692
0.156,0.018000000000000002,0.007490018280668914
0.156,0.019000000000000003,0.007896871402588407
0.156,0.02,0.008313849285662579
0.156,0.020999999999999998,0.00873972962939806
0.156,0.022,0.009173584189649508
0.156,0.023,0.009614690521784593
0.156,0.024,0.01006243390234925
0.156,0.025,0.010516226179129387
0.156,0.026000000000000002,0.010975471176295387
0.156,0.027000000000000003,0.011439575857631785
0.156,0.028000000000000004,0.011907978931627412
0.156,0.028999999999999998,0.012380172312061594
0.16,0.01,0.006741444705189345
0.16,0.011,0.007031581413367376
0.16,0.012,0.007344553471123096
0.16,0.013000000000000001,0.0076775081466649115
0.16,0.014,0.008027879140340245
0.16,0.015,0.008393397793703163
0.16,0.016,0.008772096270930802
0.16,0.017,0.009162296046948711
0.16,0.018000000000000002,0.009562585625478695
0.16,0.019000000000000003,0.009971793487917059
0.16,0.02,0.01038896006098103
0.16,0.020999999999999998,0.010813309294565423
0.16,0.022,0.01124421789328596
0.16,0.023,0.011681179608675733
0.16,0.024,0.012123764642860841
0.16,0.025,0.01257157979128878
0.16,0.026000000000000002,0.013024239098877349
0.16,0.027000000000000003,0.013481352050170573
0.16,0.028000000000000004,0.013942527712166993
0.16,0.028999999999999998,0.014407386586059482
0.164,0.01,0.008693886053491116
0.164,0.011,0.009016936805897336
0.164,0.012,0.009355735067914782
0.164,0.013000000000000001,0.009708563858119895
0.164,0.014,0.01007388128884387
0.164,0.015,0.010450320347054948
0.164,0.016,0.010836682653387586
0.164,0.017,0.011231927898337872
0.164,0.018000000000000002,0.01163516107520278
0.164,0.019000000000000003,0.012045619034101328
0.164,0.02,0.012462656975004332
0.164,0.020999999999999998,0.012885734636215812
0.164,0.022,0.013314401326642388
0.164,0.023,0.013748278860904696
0.164,0.024,0.014187042197149105
0.164,0.025,0.014630399167104085
0.164,0.026000000000000002,0.01507807237989989
0.164,0.027000000000000003,0.015529786804229562
0.164,0.028000000000000004,0.015985264898711465
0.164,0.028999999999999998,0.016444228380430238
0.168,0.01,0.01069370024290835
0.168,0.011,0.011036029873226721
0.168,0.012,0.011390141690820253
0.168,0.013000000000000001,0.011754916924082887
0.168,0.014,0.012129347253756202
0.168,0.015,0.012512531199068548
0.168,0.016,0.012903668519997014
0.168,0.017,0.013302053495674324
0.168,0.018000000000000002,0.01370706774819227
0.168,0.019000000000000003,0.014118172980414677
0.168,0.02,0.014534903685852996
0.168,0.020999999999999998,0.014956859621714443
0.168,0.022,0.015383697661599274
0.168,0.023,0.015815122639506844
0.168,0.024,0.016250877048138376
0.168,0.025,0.016690729983341045
0.168,0.026000000000000002,0.017134466379597098
0.168,0.027000000000000003,0.01758187800937066
0.168,0.028000000000000004,0.018032757564581496
0.168,0.028999999999999998,0.01848689635817956
0.17200000000000001,0.01,0.012717778320158144
0.17200000000000001,0.011,0.013072463845785535
0.17200000000000001,0.012,0.01343648368332955
0.17200000000000001,0.013000000000000001,0.01380906103768722
0.17200000000000001,0.014,0.014189491064284137
0.17200000000000001,0.015,0.01457713765047015
0.17200000000000001,0.016,0.01497142957907873
0.17200000000000001,0.017,0.015371856392553547
0.17200000000000001,0.018000000000000002,0.015777964162901722
0.17200000000000001,0.019000000000000003,0.016189351250148518
0.17200000000000001,0.02,0.016605664016607142
0.17200000000000001,0.020999999999999998,0.01702659236983059
0.17200000000000001,0.022,0.01745186494973277
0.17200000000000001,0.023,0.017881243782030626
0.17200000000000001,0.024,0.018314518318651284
0.17200000000000001,0.025,0.018751498986325055
0.17200000000000001,0.026000000000000002,0.019192010630500207
0.17200000000000001,0.027000000000000003,0.019635886475452283
0.17200000000000001,0.028000000000000004,0.020082963294405856
0.17200000000000001,0.028999999999999998,0.02053307831600928
0.176,0.01,0.014755439787843789
0.176,0.011,0.015118560587106098
0.176,0.012,0.015489386933658382
0.176,0.013000000000000001,0.01586735111173503
0.176,0.014,0.016251934204228224
0.176,0.015,0.016642663762931335
0.176,0.016,0.017039111280506437
0.176,0.017,0.017440889579385145
0.176,0.018000000000000002,0.017847650179973248
0.176,0.019000000000000003,0.018259080658620856
0.176,0.02,0.018674901958526207
0.176,0.020999999999999998,0.01909486557970503
0.176,0.022,0.019518750553294748
0.176,0.023,0.019946360111589106
0.176,0.024,0.02037751800838295
0.176,0.025,0.020812064528914535
0.176,0.026000000000000002,0.021249852344978563
0.176,0.027000000000000003,0.021690742488719255
0.176,0.028000000000000004,0.02213460079192213
0.176,0.028999999999999998,0.02258129512486405
