i,j,D_l
4,76,0.013430719465715887
4,77,0.014792897514932119
4,78,0.02928744197009735
4,79,0.04053413831521137
4,80,0.02784617492907547
4,81,0.01814176560398986
4,82,0.02038457608965371
4,83,0.012147830250339012
4,84,0.03929063372698256
4,85,0.009554476695489087
4,86,0.011377659280501103
4,87,0.03725087996128276
4,88,0.017194173433669014
4,89,0.017240993335289757
4,90,0.012979429379527731
4,91,0.014707625757367124
4,92,0.012107330614368327
4,93,0.020476634245724594
4,94,0.0365867660847769
4,95,0.018216419690245636
4,96,0.015432723450913729
4,97,0.03515470739182127
4,98,0.009481330807238897
4,99,0.010747604099006413
5,0,0.01968162440140331
5,1,0.03059524699239788
5,2,0.028763591182486215
5,3,0.010980638702980113
5,4,0.014279239095450548
5,5,0.0
5,6,0.029867557387735166
5,7,0.008377333517835104
5,8,0.03042137140718885
5,9,0.018574104393534352
5,10,0.03233897628734937
5,11,0.021966255029268675
5,12,0.03156608446412097
5,13,0.02687140373558289
5,14,0.023072101552952005
5,15,0.010437344297140447
5,16,0.022832764233724333
5,17,0.008245867949184521
5,18,0.02938730930168901
5,19,0.010551886432636907
5,20,0.007390993631006961
5,21,0.016796055102105596
5,22,0.014263370558028912
5,23,0.02303752698582856
5,24,0.010281618710842894
5,25,0.007974571850558594
5,26,0.013510245238202588
5,27,0.010938027624575412
5,28,0.0117737022736816
5,29,0.008194875914706858
5,30,0.01976734166584371
5,31,0.03052400260597321
5,32,0.03287307451989023
5,33,0.0045197918760928255
5,34,0.0330926879209803
5,35,0.021040172683059424
5,36,0.0269803821197569
5,37,0.019354980905210113
5,38,0.006839447584761719
5,39,0.02771426193521268
5,40,0.021960892526490045
5,41,0.02863212905635626
5,42,0.00816914620011227
5,43,0.022435470439928443
5,44,0.017177158560367098
5,45,0.007352917445378307
5,46,0.008465554513190265
5,47,0.02127265659359337
5,48,0.02638169860471639
5,49,0.005688727230962473
5,50,0.010827473547174976
5,51,0.017330856586915928
5,52,0.0299970043347239
5,53,0.012176320015410762
5,54,0.00897691874969572
5,55,0.007459742870863007
5,56,0.010491047903366298
5,57,0.025389081029065397
5,58,0.01959616895741749
5,59,0.0086929138957883
5,60,0.01608417088786827
5,61,0.017220943575585127
5,62,0.0021210486096610416
5,63,0.004049169678299108
5,64,0.006596236039811509
5,65,0.015313351919576805
5,66,0.007616867846115898
5,67,0.02941490538859967
5,68,0.022900923896267775
5,69,0.021467281877308543
5,70,0.014584990132626752
5,71,0.02234350684437013
5,72,0.013229703241400477
5,73,0.03483168042776944
5,74,0.008263201395689314
5,75,0.018491992230764594
5,76,0.027703458482650063
5,77,0.0005162163556335442
5,78,0.015290747746855573
5,79,0.02626646258332059
5,80,0.014695084424931407
5,81,0.004186415781845179
5,82,0.03463067669188268
5,83,0.007169725078849896
5,84,0.025026517139866235
5,85,0.02382034042709702
5,86,0.02551840456820824
5,87,0.023350486164376752
5,88,0.008856829096078956
5,89,0.0034098540694156155
5,90,0.0019539544460735266
5,91,0.02823011001665624
5,92,0.010835196834617573
5,93,0.03464525838444148
5,94,0.02257292499699672
5,95,0.03221193864184952
5,96,0.02958500460339638
5,97,0.020966936608556315
5,98,0.023372718106278396
5,99,0.005225442408872798
6,0,0.049455103551213776
6,1,0.004269834299542856
6,2,0.0012247216894123883
6,3,0.04053818898652229
6,4,0.015610742152752644
6,5,0.029867557387735166
6,6,0.0
6,7,0.03822091437093917
6,8,0.0010101342151728205
6,9,0.012937222964143765
6,10,0.003037513966855442
6,11,0.009099036575191108
6,12,0.06089870591137745
6,13,0.0030318277655091855
6,14,0.052726390072294946
6,15,0.026000419477562355
6,16,0.0075673209541023126
6,17,0.0253717433321649
6,18,0.05884089039692069
6,19,0.026133189797324683
6,20,0.024128349325233726
6,21,0.04664574483153362
6,22,0.04409384874288806
6,23,0.05199321234377148
6,24,0.019590874908066342
6,25,0.022260451694477816
6,26,0.017215340374060212
6,27,0.020141882758087645
6,28,0.041490744749370034
6,29,0.023746268273086988
6,30,0.010447058945094111
6,31,0.06020005608162877
6,32,0.0030129237282228456
6,33,0.034224166287554175
6,34,0.006843114015300626
6,35,0.05025546451316835
6,36,0.05669810017303738
6,37,0.049042206948653855
6,38,0.035478884834859975
6,39,0.006220350630728266
6,40,0.009070333043574562
6,41,0.058460981849672106
6,42,0.03756895554050718
6,43,0.007451049756502546
6,44,0.013769566030141829
6,45,0.03328796178210944
6,46,0.02143360359499964
6,47,0.009355017230325795
6,48,0.005380773174210933
6,49,0.035097750619080444
6,50,0.019222650604338438
6,51,0.047119818519568486
6,52,0.0062646160455642995
6,53,0.041835073209630674
6,54,0.02119505303837707
6,55,0.022531540610374323
6,56,0.03723449939106861
6,57,0.005805224172005953
6,58,0.0494164600699481
6,59,0.021826208051311653
6,60,0.044902492085308776
6,61,0.013996509600356562
6,62,0.03195634924698268
6,63,0.025968062535619073
6,64,0.02335620313205326
6,65,0.04515528586284119
6,66,0.0370365217456945
6,67,0.0071058983004208725
6,68,0.05273485722129924
6,69,0.012229084270201645
6,70,0.043926269315571476
6,71,0.007750726144836527
6,72,0.04189795934683576
6,73,0.005023749222629319
6,74,0.027283979114631384
6,75,0.04829655994910413
6,76,0.0025293113632000775
6,77,0.030382465978998303
6,78,0.044685944321561685
6,79,0.05609397910640666
6,80,0.042793074911567905
6,81,0.03373948313180165
6,82,0.00574977610816498
6,83,0.027579359610994003
6,84,0.054831072954620565
6,85,0.006222153287716033
6,86,0.004844651436891558
6,87,0.05252202324446984
6,88,0.03179829899971272
6,89,0.032838774592893034
6,90,0.028472986493847083
6,91,0.01034848293954911
6,92,0.022515564548255887
6,93,0.0070238053156432305
6,94,0.0519463146514781
6,95,0.008045183796229276
6,96,0.003305210001608045
6,97,0.050741495285797744
6,98,0.007636904633734859
6,99,0.025649502358927025
7,0,0.011511372522903143
7,1,0.03889351145335651
