method,group_id,leader,member,delta_error,leader_error,optimal_error
groupsm,2,42,29,0.02952951475703003,437.9686429011254,437.9391133863684
groupsm,2,42,21,0.05622168034858532,436.47464672612085,436.41842504577227
groupsm,3,16,72,0.09791477652811409,444.4819482412078,444.3840334646797
groupsm,3,16,33,0.13308823028444294,462.46350139454967,462.3304131642652
groupsm,3,16,13,0.14436075884191268,463.2006915353203,463.0563307764784
groupsm,3,16,97,0.0760081431146773,459.71763766581773,459.64162952270306
groupsm,3,16,23,0.08861686470862651,460.7734510340044,460.68483416929575
groupsm,3,16,93,0.05189702738238111,458.4733152833342,458.42141825595183
groupsm,3,16,96,0.035766103251148706,453.8611920365425,453.82542593329134
groupsm,3,16,87,0.03569804681205824,457.5631991851062,457.52750113829416
groupsm,3,16,65,0.008937794442431368,455.07096150717865,455.0620237127362
groupsm,3,16,70,0.0050394919639416,454.2732572370995,454.26821774513553
groupsm,3,16,46,0.012671436740504305,450.8187545305549,450.8060830938144
groupsm,3,16,79,0.008731218472121327,451.18620284630117,451.17747162782905
groupsm,3,16,8,0.012807919979991311,450.6156210161244,450.6028130961444
groupsm,3,16,83,0.07499759437291686,444.7221611220457,444.6471635276728
groupsm,3,16,89,0.04240220552213714,449.14466816815843,449.1022659626363
groupsm,3,16,1,0.0008320562967583101,452.9643642503445,452.96353219404773
groupsm,3,16,16,0.0,452.4071239315073,452.4071239315073
groupsm,3,16,78,0.022090245873982894,450.60855501227314,450.58646476639916
groupsm,3,16,63,0.015346879526305202,449.292255262174,449.2769083826477
groupsm,3,16,57,0.12366864794080357,442.80415253729285,442.68048388935205
groupsm,3,16,30,0.23310715671715343,439.5384286112916,439.3053214545744
groupsm,3,16,49,0.07256538268433133,444.9739975139653,444.90143213128096
groupsm,3,16,9,0.03758554435307815,447.44904348038716,447.4114579360341
groupsm,3,16,41,0.05646252981892985,446.6869468939652,446.6304843641463
groupsm,3,16,91,0.07504087501519052,445.4773945313845,445.4023536563693
groupsm,4,66,98,0.10257057096487188,439.7243523358524,439.62178176488754
groupsm,4,66,88,0.19390230246182227,446.43456458986486,446.24066228740304
groupsm,4,66,75,0.1488730789351962,424.4680181842968,424.3191451053616
groupsm,4,66,20,0.16685062526772754,423.377460688523,423.2106100632553
groupsm,4,66,80,0.0975469321187461,427.66635328770116,427.5688063555824
groupsm,4,66,31,0.10864494392882307,426.195938425869,426.08729348194015
groupsm,4,66,56,0.15183917418301007,423.72842835841595,423.57658918423294
groupsm,4,66,34,0.044368457482619306,431.39135260650977,431.34698414902715
groupsm,4,66,14,0.011308363285138512,432.8539824727627,432.84267410947757
groupsm,4,66,86,0.03114347898821279,433.2567837699734,433.2256402909852
groupsm,4,66,10,0.013473829420490802,432.0882816041092,432.07480777468874
groupsm,4,66,92,0.04421152738427736,440.0032873305116,439.95907580312735
groupsm,4,66,24,0.017674924379150525,438.0192198598182,438.00154493543903
groupsm,4,66,66,0.0,434.56952700949654,434.56952700949654
groupsm,4,66,71,0.03155344510901159,437.07708957279135,437.04553612768234
groupsm,4,66,69,0.014993226733452047,437.301197643941,437.28620441720756
groupsm,4,66,74,0.0023864726261990654,434.2191859972882,434.216799524662
groupsm,4,66,95,0.056224093479727344,438.76625400088557,438.71002990740584
groupsm,4,66,28,0.08788355047795449,437.9877476178125,437.89986406733453
groupsm,4,66,85,0.15970531530086873,442.5566975047571,442.3969921894562
